"Handle","Title","Body (HTML)","Vendor","Type","Tags","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Price","Variant Barcode","Image Src","Variant Image"
"mini-retro-game-console-with-hundreds-of-games","Mini Retro Game Console with Hundreds of Games","<p><iframe frameborder=""0"" src=""//www.youtube.com/embed/vo6rYquu5vQ"" width=""640"" height=""360"" class=""note-video-clip""></iframe><span style=""background-color: rgb(255, 255, 255);""><br></span></p><p class=""p"" style=""margin-top: 0pt; margin-left: 0pt; text-indent: 0pt;""><span style=""font-family: Arial; letter-spacing: 0pt; font-size: 12pt; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">Immerse yourself in the nostalgia of classic, arcade style gaming with this retro mini game console. Pre-loaded with up to 600 vintage games, it connects directly to your TV for hours of fun.</span><span style=""font-family: sans-serif; letter-spacing: 0pt; font-size: 12pt;""><p></p></span></p><p class=""p"" style=""margin-top: 0pt; margin-left: 0pt; text-indent: 0pt;""><span style=""font-family: Arial; letter-spacing: 0pt; font-size: 12pt;"">Teach your kids the classic games from your childhood or relive the memories with your friends. With two controllers, you can enjoy hours of gaming battles with a pal!</span><span style=""font-family: sans-serif; letter-spacing: 0pt; font-size: 12pt;""><p></p></span></p><p class=""p"" style=""margin-top: 0pt; margin-left: 0pt; text-indent: 0pt;""><b><span style=""font-family: Arial; letter-spacing: 0pt; font-size: 12pt;"">Specifications</span></b><span style=""font-family: Arial; letter-spacing: 0pt; font-size: 12pt;"">:</span><span style=""font-family: sans-serif; letter-spacing: 0pt; font-size: 12pt;""><p></p></span></p><p class=""p"" style=""margin-top: 0pt; margin-left: 0pt; text-indent: 0pt;""><span style=""font-family: Arial; letter-spacing: 0pt; font-size: 12pt;"">Mini Retro Gaming Console</span><span style=""font-family: sans-serif; letter-spacing: 0pt; font-size: 12pt;""><p></p></span></p><p class=""p"" style=""margin-top: 0pt; margin-left: 0pt; text-indent: 0pt;""><span style=""font-family: Arial; letter-spacing: 0pt; font-size: 12pt; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">Includes up to 600 built-in classic games (please refer to images for list of games included)</span><span style=""font-family: sans-serif; letter-spacing: 0pt; font-size: 12pt;""><p></p></span></p><p class=""p"" style=""margin-top: 0pt; margin-left: 0pt; text-indent: 0pt;""><span style=""font-family: Arial; letter-spacing: 0pt; font-size: 12pt; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">With 2 controllers for hours of gaming battles</span><span style=""font-family: sans-serif; letter-spacing: 0pt; font-size: 12pt;""><p></p></span></p><p class=""p"" style=""margin-top: 0pt; margin-left: 0pt; text-indent: 0pt;""><span style=""font-family: Arial; letter-spacing: 0pt; font-size: 12pt; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">Great fun for friends &amp; family</span><span style=""font-family: sans-serif; letter-spacing: 0pt; font-size: 12pt;""><p></p></span></p><p class=""p"" style=""margin-top: 0pt; margin-left: 0pt; text-indent: 0pt;""><b><span style=""font-family: Arial; letter-spacing: 0pt; font-size: 12pt; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">What's In The Box:</span></b><span style=""font-family: sans-serif; letter-spacing: 0pt; font-size: 12pt;""><p></p></span></p><p class=""p"" style=""margin-top: 0pt; margin-left: 0pt; text-indent: 0pt;""><span style=""font-family: Arial; letter-spacing: 0pt; font-size: 12pt; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">1x Game Console</span><span style=""font-family: sans-serif; letter-spacing: 0pt; font-size: 12pt;""><p></p></span></p><p class=""p"" style=""margin-top: 0pt; margin-left: 0pt; text-indent: 0pt;""><span style=""font-family: Arial; letter-spacing: 0pt; font-size: 12pt; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">2x Wired Controllers</span><span style=""font-family: sans-serif; letter-spacing: 0pt; font-size: 12pt;""><p></p></span></p><p class=""p"" style=""margin-top: 0pt; margin-left: 0pt; text-indent: 0pt;""><span style=""font-family: Arial; letter-spacing: 0pt; font-size: 12pt; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">1x Audio/Video Cable for TV</span><span style=""font-family: sans-serif; letter-spacing: 0pt; font-size: 12pt;""><p></p></span></p><p class=""p"" style=""margin-top: 0pt; margin-left: 0pt; text-indent: 0pt;""><span style=""font-family: Arial; letter-spacing: 0pt; font-size: 12pt; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">1x AUS Power Plug</span><span style=""font-family: sans-serif; letter-spacing: 0pt; font-size: 12pt;""><p></p></span></p><p class=""p"" style=""margin-top: 0pt; margin-left: 0pt; text-indent: 0pt;""><span style=""font-family: Arial; letter-spacing: 0pt; font-size: 12pt; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">1x USB Cable</span><span style=""font-family: sans-serif; letter-spacing: 0pt; font-size: 12pt;""><p></p></span></p><p class=""p"" style=""margin-top: 0pt; margin-left: 0pt; text-indent: 0pt;""><span style=""font-family: Arial; letter-spacing: 0pt; font-size: 12pt; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">1x User Manual</span><span style=""font-family: sans-serif; letter-spacing: 0pt; font-size: 12pt;""><p></p></span></p><p class=""p"" style=""margin-top: 0pt; margin-left: 0pt; text-indent: 0pt;""><span style=""font-family: Arial; letter-spacing: 0pt; font-size: 12pt; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">1x Game list</span><span style=""font-family: sans-serif; letter-spacing: 0pt; font-size: 12pt;""><p></p></span></p>","wefullfill","organization","Action Camera&DV, Consumer Electronic, Drones, Headphone&Earphone, Kids Electronics, Smart Home, Smart Wear","Option1","US","","","","","FT18-X159-us","500","17.5","","https://cdn.shopify.com/s/files/1/0370/7361/7029/products/202004280159FancyTech---1.jpg?v=1588747421",""
"mini-retro-game-console-with-hundreds-of-games","","","","","","","UK","","","","","FT18-X159-uk","500","17.5","","https://cdn.shopify.com/s/files/1/0370/7361/7029/products/202004220726FancyTech-_7.jpg?v=1588747421",""
"mini-retro-game-console-with-hundreds-of-games","","","","","","","AU","","","","","FT18-X159-AU","500","17.5","","https://cdn.shopify.com/s/files/1/0370/7361/7029/products/202004280159FancyTech---9.jpg?v=1588747421",""
"mini-retro-game-console-with-hundreds-of-games","","","","","","","EU","","","","","FT18-X159-EU","500","17.5","","https://cdn.shopify.com/s/files/1/0370/7361/7029/products/202004280159FancyTech---11.jpg?v=1588747421",""
"mini-retro-game-console-with-hundreds-of-games","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0370/7361/7029/products/202004280159FancyTech---7.jpg?v=1588747421",""
"mini-retro-game-console-with-hundreds-of-games","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0370/7361/7029/products/202004220726FancyTech-_9.jpg?v=1588747421",""
"mini-retro-game-console-with-hundreds-of-games","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0370/7361/7029/products/202005060643FancyTech---5.jpg?v=1588747421",""
